from_lat,from_lon,to_lat,to_lon,tftf_ms,dijkstra_ms,astar_ms,found_tftf,found_dijkstra,found_astar,tftf_routes,dijkstra_routes,astar_routes,Avg(Time TFTF),Avg(Time Djikstra),Avg(Time A*),Avg(Routes TFTF),Avg(Routes Djik ),Avg(Routes A*)
8.472,124.617,8.39714,124.556,170,481,211,1,1,1,2,1,1,155.5493333,103.1393333,78.00333333,1.664666667,1.543333333,1.533333333
8.457,124.661,8.45673,124.66,123,59,61,1,1,1,1,1,1,,,,,,
8.47908,124.628,8.48142,124.629,147,60,64,1,1,1,1,1,1,,,,,,
8.36937,124.607,8.36784,124.607,194,62,59,1,1,1,2,1,1,,,,,,
8.49079,124.628,8.47703,124.638,147,74,67,1,1,1,2,2,2,,,,,,
8.48085,124.727,8.47071,124.709,146,61,61,1,1,1,2,1,1,,,,,,
8.5125,124.637,8.50305,124.642,162,62,62,1,1,1,1,1,1,,,,,,
8.48996,124.628,8.48692,124.633,145,58,59,1,1,1,1,1,1,,,,,,
8.5124,124.618,8.49293,124.632,149,80,69,1,1,1,1,1,1,,,,,,
8.46508,124.632,8.47659,124.629,139,67,60,1,1,1,2,2,2,,,,,,
8.44732,124.648,8.46956,124.646,138,63,63,1,1,1,1,1,2,,,,,,
8.39784,124.612,8.31661,124.59,192,90,65,1,1,1,2,1,1,,,,,,
8.47959,124.656,8.50496,124.66,141,180,91,1,1,1,2,1,1,,,,,,
8.48125,124.629,8.45551,124.632,143,154,86,1,1,1,2,2,2,,,,,,
8.47759,124.649,8.49716,124.642,154,170,93,1,1,1,2,2,2,,,,,,
8.50762,124.77,8.48073,124.671,146,79,73,1,1,1,2,4,3,,,,,,
8.50439,124.646,8.50942,124.65,152,58,63,1,1,1,2,1,1,,,,,,
8.47789,124.646,8.47741,124.649,143,70,60,1,1,1,1,1,1,,,,,,
8.49511,124.652,8.503,124.641,148,96,73,1,1,1,2,1,1,,,,,,
8.4747,124.692,8.47467,124.689,193,110,122,1,1,1,2,1,1,,,,,,
8.30917,124.574,8.31385,124.557,149,75,72,1,1,1,1,1,1,,,,,,
8.49555,124.746,8.48364,124.731,157,86,78,1,1,1,1,1,1,,,,,,
8.49263,124.604,8.50408,124.611,171,84,63,1,1,1,1,1,1,,,,,,
8.49734,124.646,8.50781,124.653,145,70,63,1,1,1,2,1,1,,,,,,
8.47056,124.643,8.41095,124.604,135,402,120,1,1,1,2,1,1,,,,,,
8.47435,124.685,8.4764,124.646,182,110,76,1,1,1,2,4,4,,,,,,
8.47597,124.582,8.47195,124.618,143,98,75,1,1,1,1,3,2,,,,,,
8.38989,124.538,8.38571,124.54,155,59,72,1,1,1,1,1,1,,,,,,
8.47553,124.613,8.47198,124.617,175,74,96,1,1,1,1,1,1,,,,,,
8.40396,124.611,8.40202,124.591,185,62,61,1,1,1,2,1,1,,,,,,
8.49309,124.632,8.48498,124.655,177,105,80,1,1,1,2,1,1,,,,,,
8.48527,124.659,8.48764,124.66,158,81,65,1,1,1,2,1,1,,,,,,
8.49466,124.657,8.49641,124.661,138,68,75,1,1,1,2,1,1,,,,,,
8.48571,124.636,8.48066,124.637,173,66,70,1,1,1,2,2,1,,,,,,
8.50251,124.645,8.50301,124.643,178,62,71,1,1,1,1,1,1,,,,,,
8.48592,124.659,8.44732,124.622,212,344,268,1,1,1,2,5,4,,,,,,
8.37962,124.562,8.37882,124.563,129,59,62,1,1,1,1,1,1,,,,,,
8.48224,124.635,8.47617,124.641,162,101,73,1,1,1,2,3,4,,,,,,
8.49881,124.601,8.48958,124.604,148,60,60,1,1,1,2,1,1,,,,,,
8.42437,124.61,8.46967,124.628,167,76,76,1,1,1,2,3,3,,,,,,
8.48588,124.6,8.51178,124.615,149,73,63,1,1,1,1,2,2,,,,,,
8.4728,124.646,8.47788,124.651,190,91,80,1,1,1,2,1,1,,,,,,
8.50936,124.65,8.50916,124.649,153,63,62,1,1,1,1,1,1,,,,,,
8.4602,124.66,8.46335,124.66,124,60,62,1,1,1,1,1,1,,,,,,
8.48516,124.654,8.50384,124.608,149,258,83,1,1,1,2,2,2,,,,,,
8.47419,124.631,8.47778,124.646,174,111,80,1,1,1,2,2,2,,,,,,
8.50303,124.641,8.503,124.641,137,59,59,1,1,1,1,1,1,,,,,,
8.48804,124.737,8.49737,124.748,153,61,62,1,1,1,2,1,2,,,,,,
8.4723,124.618,8.46171,124.619,204,73,78,1,1,1,2,1,1,,,,,,
8.47032,124.707,8.50089,124.751,151,80,78,1,1,1,1,1,1,,,,,,
8.50424,124.662,8.49631,124.661,140,60,61,1,1,1,1,1,1,,,,,,
