from_lat,from_lon,to_lat,to_lon,tftf_ms,dijkstra_ms,astar_ms,found_tftf,found_dijkstra,found_astar,tftf_routes,dijkstra_routes,astar_routes,Avg(Time TFTF),Avg(Time Djikstra),Avg(Time A*),Avg(Routes TFTF),Avg(Routes Djik ),Avg(Routes A*)
8.4928,124.633,8.40781,124.602,119,300,190,1,1,1,3,6,6,129.488,166.83,126.1446667,1.965333333,3.662,3.652
8.48691,124.631,8.48592,124.659,123,112,60,1,1,1,2,2,3,,,,,,
8.46132,124.626,8.49936,124.632,143,166,109,1,1,1,2,4,5,,,,,,
8.50131,124.628,8.49472,124.652,120,90,55,1,1,1,2,2,2,,,,,,
8.50862,124.637,8.37532,124.506,127,377,472,1,1,1,2,6,5,,,,,,
8.48633,124.648,8.45999,124.626,120,171,114,1,1,1,2,3,3,,,,,,
8.47455,124.622,8.50447,124.624,140,186,128,1,1,1,2,7,6,,,,,,
8.42629,124.61,8.48236,124.657,146,160,109,1,1,1,2,7,7,,,,,,
8.47358,124.609,8.50394,124.609,150,230,149,1,1,1,2,7,7,,,,,,
8.5094,124.645,8.50231,124.645,109,54,50,1,1,1,2,2,2,,,,,,
8.49055,124.628,8.47741,124.649,119,75,54,1,1,1,2,4,4,,,,,,
8.48384,124.657,8.49207,124.654,109,48,50,1,1,1,1,1,1,,,,,,
8.4969,124.63,8.23472,124.553,118,385,363,1,1,1,2,6,5,,,,,,
8.44955,124.623,8.50081,124.635,119,183,133,1,1,1,2,6,9,,,,,,
8.49959,124.637,8.44877,124.64,106,203,162,1,1,1,2,6,6,,,,,,
8.48138,124.645,8.20001,124.528,130,401,388,1,1,1,2,5,5,,,,,,
8.48046,124.657,8.48806,124.658,110,45,49,1,1,1,2,2,2,,,,,,
8.50961,124.649,8.50998,124.637,117,53,47,1,1,1,2,2,2,,,,,,
8.5035,124.626,8.47322,124.633,145,117,75,1,1,1,2,2,2,,,,,,
8.48281,124.658,8.3282,124.598,119,342,250,1,1,1,2,5,4,,,,,,
8.48233,124.638,8.47202,124.639,134,62,51,1,1,1,2,2,1,,,,,,
8.49187,124.633,8.49245,124.652,117,144,86,1,1,1,2,3,3,,,,,,
8.49729,124.646,8.47726,124.646,102,68,55,1,1,1,2,4,3,,,,,,
8.4842,124.596,8.49906,124.642,130,172,116,1,1,1,2,5,6,,,,,,
8.35478,124.601,8.45627,124.624,162,63,59,1,1,1,2,3,3,,,,,,
8.4842,124.657,8.50364,124.626,112,117,57,1,1,1,2,2,3,,,,,,
8.16944,124.539,8.47385,124.645,131,115,98,1,1,1,2,5,5,,,,,,
8.49247,124.633,8.48166,124.645,123,62,56,1,1,1,2,1,2,,,,,,
8.40202,124.591,8.46162,124.584,150,260,142,1,1,1,2,5,5,,,,,,
8.50305,124.642,8.39634,124.558,159,339,397,1,1,1,2,5,6,,,,,,
8.503,124.641,8.48297,124.644,111,79,60,1,1,1,1,1,1,,,,,,
8.50532,124.634,8.51271,124.626,120,57,48,1,1,1,2,2,3,,,,,,
8.49775,124.62,8.48888,124.65,99,94,56,1,1,1,2,4,4,,,,,,
8.38248,124.56,8.46974,124.633,104,89,83,1,1,1,2,6,6,,,,,,
8.47924,124.637,8.42802,124.617,115,224,78,1,1,1,2,1,1,,,,,,
8.3126,124.593,8.47405,124.598,107,182,105,1,1,1,2,5,5,,,,,,
8.44565,124.632,8.50428,124.615,120,177,119,1,1,1,2,6,5,,,,,,
