from_lat,from_lon,to_lat,to_lon,tftf_ms,dijkstra_ms,astar_ms,found_tftf,found_dijkstra,found_astar,tftf_routes,dijkstra_routes,astar_routes,Avg(Time TFTF),Avg(Time Djikstra),Avg(Time A*),Avg(Routes TFTF),Avg(Routes Djik ),Avg(Routes A*)
8.48367,124.661,8.48571,124.661,43,11,12,1,1,1,1,1,1,38.11133333,19.42733333,16.49,1.466666667,1.194666667,1.176
8.47823,124.649,8.48033,124.648,39,14,16,1,1,1,2,1,1,,,,,,
8.47698,124.651,8.48461,124.656,35,17,16,1,1,1,1,1,1,,,,,,
8.47741,124.649,8.48558,124.652,38,16,14,1,1,1,2,1,1,,,,,,
8.47384,124.652,8.44481,124.654,30,29,18,1,1,1,2,1,1,,,,,,
8.50368,124.663,8.48783,124.651,36,18,20,1,1,1,2,1,1,,,,,,
8.50041,124.754,8.48243,124.758,39,21,21,1,1,1,1,2,2,,,,,,
8.48693,124.659,8.479,124.628,31,38,28,1,1,1,1,1,1,,,,,,
8.48166,124.728,8.49501,124.745,47,15,15,1,1,1,2,1,2,,,,,,
8.47432,124.682,8.47645,124.678,43,14,14,1,1,1,1,1,1,,,,,,
8.48652,124.751,8.4864,124.751,33,15,12,1,1,1,1,1,1,,,,,,
8.44292,124.643,8.45957,124.644,28,14,13,1,1,1,1,1,1,,,,,,
8.47471,124.689,8.49078,124.741,51,48,23,1,1,1,2,1,1,,,,,,
8.48633,124.648,8.48138,124.645,34,21,38,1,1,1,1,1,1,,,,,,
8.46971,124.703,8.4988,124.751,57,30,23,1,1,1,2,1,1,,,,,,
8.49937,124.663,8.48829,124.652,38,19,15,1,1,1,2,1,1,,,,,,
8.45125,124.648,8.43659,124.642,31,16,17,1,1,1,2,1,1,,,,,,
8.50477,124.66,8.50389,124.663,35,13,12,1,1,1,2,1,1,,,,,,
8.45363,124.662,8.45725,124.659,26,11,12,1,1,1,1,1,1,,,,,,
8.49619,124.661,8.50285,124.66,39,28,22,1,1,1,2,1,1,,,,,,
8.48583,124.639,8.47835,124.628,27,12,14,1,1,1,1,1,1,,,,,,
