from_lat,from_lon,to_lat,to_lon,tftf_ms,dijkstra_ms,astar_ms,found_tftf,found_dijkstra,found_astar,tftf_routes,dijkstra_routes,astar_routes,,,,,,,,
8.47263,124.573,8.48286,124.593,104,48,49,1,1,1,1,1,1,,Run Time,,,,Routes Taken,,
8.47655,124.643,8.485,124.638,106,66,52,1,1,1,1,2,2,,TFTF (ms),Djikstra (ms) ,A* (ms),,TFTF,Djikstra,A*
8.4981,124.642,8.47549,124.649,116,92,64,1,1,1,2,4,6,,119.2013333,79.13133333,59.674,,1.650666667,1.682666667,1.642
8.39956,124.611,8.22859,124.546,118,386,70,1,1,1,2,1,1,,,,,,,,
8.4886,124.641,8.50297,124.627,110,94,56,1,1,1,2,2,2,,,,,,,,
8.47578,124.612,8.47492,124.621,128,57,59,1,1,1,1,2,2,,,,,,,,
8.49065,124.64,8.48175,124.636,121,56,55,1,1,1,2,1,2,,,,,,,,
8.47282,124.635,8.47287,124.62,124,96,77,1,1,1,2,2,2,,,,,,,,
8.48138,124.645,8.51276,124.628,118,170,76,1,1,1,2,1,1,,,,,,,,
8.47738,124.643,8.47907,124.645,108,46,48,1,1,1,1,1,1,,,,,,,,
8.4877,124.626,8.488,124.63,100,48,47,1,1,1,1,1,1,,,,,,,,
8.51042,124.635,8.50292,124.643,111,51,51,1,1,1,1,2,1,,,,,,,,
8.45445,124.632,8.44601,124.631,102,49,48,1,1,1,2,1,1,,,,,,,,
8.47873,124.638,8.49637,124.641,115,96,64,1,1,1,2,1,1,,,,,,,,
8.47586,124.612,8.47281,124.604,129,55,54,1,1,1,2,1,1,,,,,,,,
8.47583,124.63,8.48869,124.61,124,243,202,1,1,1,2,1,1,,,,,,,,
8.49488,124.631,8.50288,124.643,126,72,55,1,1,1,2,1,1,,,,,,,,
8.48371,124.61,8.50437,124.62,121,50,50,1,1,1,2,1,1,,,,,,,,
8.47498,124.631,8.47208,124.639,118,63,54,1,1,1,1,1,2,,,,,,,,
8.48678,124.647,8.5092,124.646,111,124,59,1,1,1,2,1,1,,,,,,,,
8.30148,124.579,8.31315,124.593,107,49,51,1,1,1,1,1,1,,,,,,,,
8.45055,124.623,8.47302,124.633,122,55,53,1,1,1,1,3,3,,,,,,,,
8.48612,124.648,8.49071,124.635,125,58,51,1,1,1,2,1,1,,,,,,,,
8.50455,124.622,8.50023,124.616,112,54,52,1,1,1,2,2,2,,,,,,,,
8.50223,124.646,8.5055,124.647,108,48,47,1,1,1,2,1,1,,,,,,,,
8.46833,124.609,8.47355,124.638,121,80,82,1,1,1,2,1,4,,,,,,,,
8.42313,124.626,8.42827,124.613,106,48,47,1,1,1,2,1,1,,,,,,,,
8.42839,124.613,8.42121,124.632,104,56,57,1,1,1,1,1,1,,,,,,,,
8.48825,124.642,8.48743,124.645,108,47,49,1,1,1,2,1,1,,,,,,,,
8.48703,124.646,8.50954,124.645,104,104,57,1,1,1,2,1,1,,,,,,,,
8.47411,124.615,8.47345,124.608,127,55,54,1,1,1,2,1,1,,,,,,,,
8.48142,124.629,8.49037,124.64,121,74,55,1,1,1,2,1,1,,,,,,,,
8.43925,124.644,8.4394,124.644,97,47,49,1,1,1,1,1,1,,,,,,,,
8.48603,124.6,8.4928,124.633,123,76,62,1,1,1,2,3,2,,,,,,,,
8.48657,124.634,8.50998,124.637,110,127,64,1,1,1,2,1,1,,,,,,,,
8.48266,124.633,8.51166,124.624,131,168,92,1,1,1,1,7,6,,,,,,,,
8.50448,124.624,8.48065,124.611,111,84,59,1,1,1,2,2,2,,,,,,,,
